Módulo,Método,Endpoint,Descrição,Dependências,Status
Fontes,GET,/api/fontes/:id,Obter fonte,MONGO_URI,Não configurado
Fontes,POST,/api/fontes/:id/analisar,Analisar fonte,"MONGO_URI, OPENAI_API_KEY",Não configurado
Fontes,DELETE,/api/fontes/:id,Remover fonte,MONGO_URI,Não configurado
Roadmap,POST,/api/roadmap/gerar,Gerar roadmap,"OPENAI_API_KEY, MONGO_URI",Não configurado
Roadmap,GET,/api/roadmap,Listar roadmaps,MONGO_URI,Não configurado
Roadmap,GET,/api/roadmap/:id,Obter roadmap,MONGO_URI,Não configurado
Roadmap,PATCH,/api/roadmap/:id/item/:itemId,Atualizar item,MONGO_URI,Não configurado
Roadmap,POST,/api/roadmap/:id/item,Adicionar item,MONGO_URI,Não configurado
Spec,POST,/api/spec/gerar,Gerar especificação,"OPENAI_API_KEY, MONGO_URI",Não configurado
Spec,GET,/api/spec,Listar specs,MONGO_URI,Não configurado
Spec,GET,/api/spec/:id,Obter spec,MONGO_URI,Não configurado
Spec,PATCH,/api/spec/:id/status,Atualizar status,MONGO_URI,Não configurado
Conformidade,POST,/api/conformidade/gerar,Gerar conformidade simples,"OPENAI_API_KEY, MONGO_URI",Não configurado
Conformidade,GET,/api/conformidade,Listar conformidades,MONGO_URI,Não configurado
Conformidade,GET,/api/conformidade/:id,Obter conformidade,MONGO_URI,Não configurado
Conformidade,DELETE,/api/conformidade/:id,Remover conformidade,MONGO_URI,Não configurado
Conformidade,POST,/api/conformidade/multi/gerar,Análise multi-produto,"OPENAI_API_KEY, MONGO_URI",Não configurado
Conformidade,GET,/api/conformidade/multi,Listar análises multi,MONGO_URI,Não configurado
Conformidade,GET,/api/conformidade/multi/:id,Obter análise multi,MONGO_URI,Não configurado
Conformidade,GET,/api/conformidade/multi/:id/comparacao,Comparação,MONGO_URI,Não configurado
Conformidade,GET,/api/conformidade/multi/:id/lacunas,Lacunas,MONGO_URI,Não configurado
Conformidade,GET,/api/conformidade/multi/:id/recomendacoes,Recomendações,MONGO_URI,Não configurado
Editais Gov,GET,/api/editais-gov/buscar,Buscar editais gov,OPENAI_API_KEY,Não configurado
WhatsApp,POST,/api/whatsapp/iniciar,Iniciar conexão,Baileys,Integrado
WhatsApp,GET,/api/whatsapp/status,Status da conexão,Baileys,Integrado
WhatsApp,GET,/api/whatsapp/sessoes,Listar sessões,MONGO_URI,Não configurado
WhatsApp,GET,/api/whatsapp/sessao/:telefone,Detalhes da sessão,MONGO_URI,Não configurado
WhatsApp,DELETE,/api/whatsapp/sessao/:telefone,Encerrar sessão,MONGO_URI,Não configurado
WhatsApp,POST,/api/whatsapp/send,Enviar mensagem,Baileys,Integrado
WhatsApp,POST,/api/whatsapp/send-buttons,Enviar com botões,Baileys,Integrado
WhatsApp,POST,/api/whatsapp/desconectar,Desconectar,Baileys,Integrado
WhatsApp,POST,/api/whatsapp/restart,Reiniciar,Baileys,Integrado
Análise Imagem,POST,/api/analise-imagem/analisar,Analisar sem salvar,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/salvar-e-analisar,Salvar e analisar,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/comparar-pasta,Comparar pasta,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/comparar-pasta-local,Comparar local (gratuito),Nenhuma,Funcional
Análise Imagem,GET,/api/analise-imagem/imagem-externa,Servir imagem externa,Nenhuma,Funcional
Análise Imagem,POST,/api/analise-imagem/gerar-caracteristicas,Gerar características,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/classificar-ocupacao,Classificar ocupação,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/classificar-roda,Classificar roda,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/classificar-cor-camisa,Classificar cor camisa,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/classificar-mochila,Classificar mochila,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/classificar-calca,Classificar calça,OPENAI_API_KEY,Não configurado
Análise Imagem,POST,/api/analise-imagem/ler-placa,Ler placas OCR,OPENAI_API_KEY,Não configurado
Análise Imagem,GET,/api/analise-imagem/listar,Listar todas,Nenhuma,Funcional
Análise Imagem,GET,/api/analise-imagem/listar/:sistema,Listar por sistema,Nenhuma,Funcional
Análise Imagem,GET,/api/analise-imagem/listar-pasta,Listar pasta,Nenhuma,Funcional
Análise Imagem,DELETE,/api/analise-imagem/:sistema/:nome,Remover imagem,Nenhuma,Funcional
Jobs,POST,/api/jobs/comparar-pasta,Criar job de comparação,"OPENAI_API_KEY, MONGO_URI",Não configurado
Jobs,GET,/api/jobs,Listar jobs,MONGO_URI,Não configurado
Jobs,GET,/api/jobs/:id,Obter job,MONGO_URI,Não configurado
Jobs,DELETE,/api/jobs/:id,Remover job,MONGO_URI,Não configurado
Admin,GET,/api/admin/kb/stats,Estatísticas da KB,MONGO_URI,Não configurado
Admin,POST,/api/admin/reindexar-docs,Reindexar documentação,"OPENAI_API_KEY, MONGO_URI",Não configurado
Admin,POST,/api/admin/reindexar-jitbit,Reindexar Jitbit,"JITBIT_*, OPENAI_API_KEY, MONGO_URI",Não configurado
Admin,DELETE,/api/admin/kb/:modulo,Limpar módulo da KB,MONGO_URI,Não configurado
Agent,POST,/api/agent/run,Executar agente,"OPENAI_API_KEY, MONGO_URI",Não configurado
Agent,POST,/api/agent/run/:mode,Executar modo específico,"OPENAI_API_KEY, MONGO_URI",Não configurado
Agent,GET,/api/agent/state,Estado do agente,MONGO_URI,Não configurado
Agent,GET,/api/agent/scheduler,Status do scheduler,MONGO_URI,Não configurado
Agent,POST,/api/agent/scheduler/start,Iniciar scheduler,MONGO_URI,Não configurado
Agent,POST,/api/agent/scheduler/stop,Parar scheduler,MONGO_URI,Não configurado
VARCO,POST,/api/varco/validar-dispositivo,Validar dispositivo,"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
VARCO,POST,/api/varco/validar-lote,Validar lote,"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
VARCO,POST,/api/varco/analisar-incidente,Analisar incidente,"VARCO_EMAIL, VARCO_PASSWORD, OPENAI_API_KEY",Não configurado
VARCO,GET,/api/varco/heartbeat,Heartbeat geral,"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
VARCO,GET,/api/varco/frota,Listar frota (72 dispositivos),"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
VARCO,GET,/api/varco/auditoria,Auditoria de status,"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
VARCO,POST,/api/varco/auditoria-aprimorada,Auditoria aprimorada,"VARCO_EMAIL, VARCO_PASSWORD, OPENAI_API_KEY",Não configurado
VARCO,GET,/api/varco/config-padrao,Configuração padrão,"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
VARCO,POST,/api/varco/recoleta,Recoletar VARCO,"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
VARCO,POST,/api/varco/plano-correcao,Obter plano de correção,MONGO_URI,Não configurado
VARCO,POST,/api/varco/plano-correcao/gerar,Gerar plano,"VARCO_EMAIL, VARCO_PASSWORD, OPENAI_API_KEY",Não configurado
VARCO,POST,/api/varco/plano-correcao/aplicar,Aplicar correção,"VARCO_EMAIL, VARCO_PASSWORD",Não configurado
Validation,POST,/api/validation/start,Iniciar validação,Playwright,Funcional
Validation,POST,/api/validation/discover/ui,Descobrir UI,Playwright,Funcional
Validation,POST,/api/validation/discover/api,Descobrir API,Playwright,Funcional
Validation,GET,/api/validation/report/:id,Obter relatório,MONGO_URI,Não configurado
Validation,GET,/api/validation/list,Listar validações,MONGO_URI,Não configurado
Visual Validation,POST,/api/visual-validation/start,Iniciar validação visual,Playwright,Funcional
Visual Validation,GET,/api/visual-validation/status/:id,Status da validação,Playwright,Funcional
Visual Validation,GET,/api/visual-validation/report/:id,Obter relatório,Playwright,Funcional
Visual Validation,GET,/api/visual-validation/screenshot/:id/:index,Obter screenshot,Nenhuma,Funcional
Visual Validation,GET,/api/visual-validation/list,Listar validações,MONGO_URI,Não configurado
Quality,GET,/api/quality/specification,Obter especificação,Nenhuma,Funcional
Quality,GET,/api/quality/modules,Listar módulos,Nenhuma,Funcional
Quality,GET,/api/quality/projects,Listar projetos,Nenhuma,Funcional
Quality,GET,/api/quality/scans,Listar scans,MONGO_URI,Não configurado
Quality,GET,/api/quality/stats,Estatísticas,MONGO_URI,Não configurado
Quality,GET,/api/quality/roadmap,Roadmap PIEQ,Nenhuma,Funcional
Quality,POST,/api/quality/scan,Criar scan,MONGO_URI,Não configurado
Quality,GET,/api/quality/scan/:id,Obter scan,MONGO_URI,Não configurado
Quality,GET,/api/quality/report/:id,Obter relatório,MONGO_URI,Não configurado
Portal,POST,/api/portal/consultar,Consultar infrações,AXHUB_DB_*,Não configurado
Portal,GET,/api/portal/infracao/:autoInfracao,Buscar infração,AXHUB_DB_*,Não configurado
Portal,POST,/api/portal/auth/registrar,Registrar usuário,MONGO_URI,Não configurado
Portal,POST,/api/portal/auth/login,Login usuário,MONGO_URI,Não configurado
Portal,GET,/api/portal/auth/perfil,Obter perfil,MONGO_URI,Não configurado
Portal,PUT,/api/portal/auth/perfil,Atualizar perfil,MONGO_URI,Não configurado
Portal,PUT,/api/portal/auth/senha,Alterar senha,MONGO_URI,Não configurado
Portal,POST,/api/portal/contestar,Criar contestação,MONGO_URI,Comentado
Portal,GET,/api/portal/contestacoes,Listar contestações,MONGO_URI,Comentado
Portal,GET,/api/portal/contestacoes/:id,Buscar contestação,MONGO_URI,Comentado
Portal,DELETE,/api/portal/contestacoes/:id,Cancelar contestação,MONGO_URI,Comentado
Portal,POST,/api/portal/contestacoes/:id/documentos,Adicionar documento,MONGO_URI,Comentado
Portal,GET,/api/portal/health,Health check,Nenhuma,Funcional
